BridgeFailureLikelihood,LRPName,Latitude,Longitude,NumberOfABridges,NumberOfBBridges,NumberOfCBridges,NumberOfDBridges,TotalEconomicVulnerability,TotalSocialVulnerability,TotalTraffic,TrafficEconomicVulnerability,TrafficSocialVulnerability,chainage,road
0.999995837,LRP048a,21.96170848,91.95631466,1,0,0,0,1417.4941,14792.43843,16210,1417.5,14792.5,48.29,R170
0.999995837,LRP054e,21.89774709,91.9644735,0,0,1,0,1417.4941,14792.43843,16210,1417.5,14792.5,55.415,R170
1,LRPSb,22.0031944,91.9599722,1,0,0,0,1030,5171,6201,1030,5171,15.851,R171
1,LRP016a,21.71657227,91.95063113,1,0,0,0,1116.666667,7097.333333,8214,1116.666667,7097.333333,16.653,R172
1,LRPSb,21.42967713,92.00193956,1,0,0,0,1975,15519,17494,1975,15519,5.004,R180
1,LRPSa,23.72410788,90.51115622,0,0,0,1,17732.5,81620,99352.5,17732.5,81620,0.264,R201
1,LRPSa,23.785504,90.56122871,1,0,0,0,2815,13693,16508,2815,13693,6.96,R202
0.999999306,LRPSb,23.7841386,90.5787771,1,0,0,0,1407.499024,6846.49525,8254,1407.5,6846.5,40.995,R203
0.999999306,LRP063c,23.86948018,91.00619646,1,0,0,0,319.999778,4359.996975,4680,320,4360,61.273,R203
0.999999306,LRP066d,23.86998023,91.03575896,1,0,0,0,319.999778,4359.996975,4680,320,4360,64.435,R203
1,LRPSb,23.91216683,90.69667874,1,0,0,0,2545,22988.5,25533.5,2545,22988.5,2.774,R210
1,LRPSb,23.98102617,90.73378569,1,0,0,0,2720,18118,20523,2720,18118,44.607,R211
1,LRP015d,24.15921289,90.80915374,1,0,0,0,642.5,2829.5,3472,642.5,2829.5,15.608,R212
1,LRPSc,24.06587536,91.11709153,0,1,0,0,926.6666667,7902,8828.666667,926.6666667,7902,51.494,R220
0.999901444,LRP033a,24.51285436,91.49031699,1,0,0,0,3582.980175,44605.60342,48193.33333,3583.333333,44610,33.28,R240
0.999901444,LRP049c,24.5914249,91.60101519,0,1,0,0,1143.220651,8223.856078,9368,1143.333333,8224.666667,49.333,R240
1,LRP044a,24.91843718,91.46374477,0,1,0,0,1490,7103.333333,8593.333333,1490,7103.333333,44.441,R241
0.9999001,LRP054a,24.99131905,92.35164422,1,0,0,0,7205.946717,20649.93686,27858.66667,7206.666667,20652,55.445,R250
0.9999001,LRP087a,24.87695433,92.37249321,1,0,0,0,2356.431235,9581.042754,11938.66667,2356.666667,9582,88.494,R250
1,LRPSa,24.85416148,92.01837074,1,0,0,0,3265,25859,29124,3265,25859,13.56,R251
0.999100896,LRPSa,24.90587207,91.86537094,1,0,0,0,4898.092141,25305.72703,30231,4902.5,25328.5,51.072,R280
0.999100896,LRP065a,25.06857296,91.39669315,1,0,0,0,2310.420821,19943.05298,22273.5,2312.5,19961,65.9,R280
0.998846546,LRPSa,24.51770578,91.86291183,1,0,0,0,1877.831506,14156.98504,16053.33333,1880,14173.33333,23.553,R281
0.998846546,LRP057b,24.76072579,92.15546868,1,0,0,0,1877.831506,14156.98504,16053.33333,1880,14173.33333,56.32,R281
0.998846546,LRP079b,24.89518566,92.19193102,1,0,0,0,876.4878441,6508.983517,7394,877.5,6516.5,78.32,R281
1,LRPSa,24.59706449,92.11426236,1,0,0,0,1045,9969,11014,1045,9969,15.247,R282
1,LRP031c,23.90548508,90.66520536,1,0,0,0,20546.66667,74882,95428.66667,20546.66667,74882,31.692,R301
1,LRPSa,23.92532611,90.55861129,1,0,0,0,4120,18127,22247,4120,18127,5.272,R302
1,LRP001a,23.89210876,90.39087397,0,1,0,0,36297.5,56544.5,92842,36297.5,56544.5,1.101,R303
1,LRP007a,24.02448831,90.46957019,0,1,0,0,10930,91375,102305,10930,91375,7.232,R310
1,LRP001a,24.01019121,90.41521075,0,1,0,0,1987.5,27507.5,29495,1987.5,27507.5,1.534,R311
1,LRPSd,24.09845087,90.40864965,0,1,0,0,6516.666667,36318,42834.66667,6516.666667,36318,40.681,R312
1,LRP024b,24.11694252,90.56447727,1,0,0,0,1510,5856,7366,1510,5856,23.499,R313
1,LRPSa,24.22804569,90.41233532,0,1,0,0,4925,11153,16078,4925,11153,36.493,R314
1,LRP050a,23.93269702,90.20760285,0,1,0,0,3425,19233,20593,3425,19233,49.134,R315
0.999995894,LRP036a,24.58116132,90.64024329,0,0,1,0,5159.97881,20143.91728,25304,5160,20144,36.217,R360
0.999995894,LRP057b,24.4859974,90.76263762,0,1,0,0,2634.989179,12628.94814,15264,2635,12629,57.763,R360
0.999995894,LRP109c,24.09728558,90.93183779,0,0,1,0,2634.989179,12628.94814,15264,2635,12629,109.444,R360
0.999995894,LRP115b,24.065972,90.9763882,1,0,0,0,2634.989179,12628.94814,15264,2635,12629,115.232,R360
0.990772368,LRPSa,24.7636109,90.40633716,1,0,0,0,11626.71373,62228.43086,74543,11735,62808,36.634,R370
0.990772368,LRP069b,24.8804863,90.98275162,1,0,0,0,9323.167979,31114.21543,37271.5,9410,31404,70.02,R370
0.990772368,LRP072a,24.88954192,91.00131143,1,0,0,0,9323.167979,22630.23165,32251,9410,22841,72.377,R370
0.999786638,LRP049a,24.97885272,90.13701886,1,0,0,0,3561.739899,21078.5017,24645.5,3562.5,21083,48.522,R371
0.999786638,LRP063a,25.0099697,90.02001835,1,0,0,0,1987.075944,10466.26642,12456,1987.5,10468.5,62.275,R371
1,LRP002c,24.40591041,89.70923768,1,0,0,0,4697.5,14439,19136.5,4697.5,14439,1.554,R450
1,LRPSa,24.42370795,89.59715312,0,1,0,0,4697.5,14439,19136.5,4697.5,14439,10.62,R451
